,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students
Arcadia High,1464.0,Arcadia High School,public,9-12,3424.0,9.0,3.0,Arcadia,CA,251.0,Arcadia Unified School District,602970.0,"180 Campus Drive, 
Arcadia, CA  91007",(626) 821-1711,(626) 821-1712,http://ahs.ausd.net/?sessionid=c37b0f218043c8518757364c22277c4d&t,60297000223.0,34.130634,-118.03865,https://www.greatschools.org/california/arcadia/1464-Arcadia-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/arcadia/1464-Arcadia-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/arcadia/1464-Arcadia-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/arcadia/1464-Arcadia-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,5.0,,7.0,,24,326,96,100,94771,9,7,9,65,776,51,222,64,759,55,212,72,62,98,99,23
Azusa High,1474.0,Azusa High School,public,9-12,1289.0,5.0,4.0,Azusa,CA,252.0,Azusa Unified School District,603600.0,"240 North Cerritos Avenue, 
Azusa, CA  91702",(626) 815-3400,(626) 815-3430,http://ahs-ausd-ca.schoolloop.com/,60360000268.0,34.125393,-117.89936000000002,https://www.greatschools.org/california/azusa/1474-Azusa-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/azusa/1474-Azusa-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/azusa/1474-Azusa-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/azusa/1474-Azusa-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,6.0,,6.0,,6.0,,22,316,92,100,76154,6,6,7,56,275,55,229,31,282,30,237,45,45,93,93,75
Gladstone High,1479.0,Gladstone High School,public,9-12,1216.0,6.0,4.0,Covina,CA,252.0,Azusa Unified School District,603600.0,"1340 North Enid, 
Covina, CA  91722",(626) 815-3600,(626) 815-3655,https://ghs-ausd-ca.schoolloop.com/,60360000273.0,34.104996,-117.91436000000002,https://www.greatschools.org/california/covina/1479-Gladstone-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/covina/1479-Gladstone-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/covina/1479-Gladstone-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/covina/1479-Gladstone-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,7.0,,8.0,,7.0,,24,320,92,100,79147,7,7,7,69,237,68,199,24,237,25,199,35,35,89,89,76
Baldwin Park High,1492.0,Baldwin Park High School,public,9-12,1979.0,6.0,3.0,Baldwin Park,CA,253.0,Baldwin Park Unified School District,603690.0,"3900 North Puente Avenue, 
Baldwin Park, CA  91706",(626) 960-5431,(626) 856-4059,,60369000324.0,34.083317,-117.94995,https://www.greatschools.org/california/baldwin-park/1492-Baldwin-Park-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/baldwin-park/1492-Baldwin-Park-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/baldwin-park/1492-Baldwin-Park-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/baldwin-park/1492-Baldwin-Park-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,7.0,,6.0,,6.0,,24,396,90,100,77145,7,6,8,65,427,64,377,27,427,25,377,34,33,94,94,86
Sierra Vista High,1507.0,Sierra Vista High School,public,9-12,2013.0,5.0,4.0,Baldwin Park,CA,253.0,Baldwin Park Unified School District,603690.0,"3600 North Frazier Street, 
Baldwin Park, CA  91706",(626) 960-7741,(626) 856-4050,,60369000338.0,34.076694,-117.98053,https://www.greatschools.org/california/baldwin-park/1507-Sierra-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/baldwin-park/1507-Sierra-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/baldwin-park/1507-Sierra-Vista-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/baldwin-park/1507-Sierra-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,5.0,,4.0,,5.0,,24,288,100,100,77043,5,5,7,53,431,52,390,28,434,27,393,44,44,97,97,86
Opportunities for Learning - Baldwin Park,11948.0,Opportunities For Learning - Baldwin Park,charter,K-12,8000.0,2.0,3.0,Pasadena,CA,253.0,Baldwin Park Unified School District,603690.0,"320 North Halstead Street Suite 220, 
Pasadena, CA  91107",(626) 814-0161,(818) 952-1795,,60369008715.0,34.15208,-118.07903,https://www.greatschools.org/california/pasadena/11948-Opportunities-For-Learning---Baldwin-Park/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pasadena/11948-Opportunities-For-Learning---Baldwin-Park/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pasadena/11948-Opportunities-For-Learning---Baldwin-Park/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/pasadena/11948-Opportunities-For-Learning---Baldwin-Park/?utm_source=GSAPI&utm_medium=referral,1.0,2.0,,1.0,,1.0,,,,,,,2,1,2,35,687,30,683,5,684,4,679,63,67,17,16,78
Bassett Senior High,1512.0,Bassett Senior High School,public,9-12,1069.0,6.0,3.0,La Puente,CA,254.0,Bassett Unified School District,604110.0,"755 Ardilla Avenue, 
La Puente, CA  91746",(626) 931-2800,(626) 931-2850,http://www.bassetths.org/index.jsp?rn=4330979,60411000371.0,34.051476,-117.97641999999999,https://www.greatschools.org/california/la-puente/1512-Bassett-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-puente/1512-Bassett-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-puente/1512-Bassett-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/la-puente/1512-Bassett-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,7.0,,7.0,,7.0,,23,210,89,100,63302,7,7,7,66,237,65,206,28,239,28,207,40,40,97,97,85
Bellflower High,1539.0,Bellflower High School,public,7-12,2658.0,5.0,3.0,Bellflower,CA,257.0,Bellflower Unified School District,604440.0,"15301 South Mcnab Avenue, 
Bellflower, CA  90706",(562) 920-1801,(562) 804-2387,,60444000396.0,33.8944,-118.1131,https://www.greatschools.org/california/bellflower/1539-Bellflower-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/bellflower/1539-Bellflower-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/bellflower/1539-Bellflower-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/bellflower/1539-Bellflower-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,5.0,,5.0,,5.0,,21,443,90,100,100370,5,5,,71,372,51,937,23,372,22,943,33,32,97,96,79
Mayfair High,1545.0,Mayfair High School,public,7-12,3023.0,7.0,4.0,Lakewood,CA,257.0,Bellflower Unified School District,604440.0,"6000 North Woodruff Avenue, 
Lakewood, CA  90713",(562) 925-9981,(562) 804-6516,,60444000402.0,33.86367,-118.11713999999999,https://www.greatschools.org/california/lakewood/1545-Mayfair-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lakewood/1545-Mayfair-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lakewood/1545-Mayfair-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/lakewood/1545-Mayfair-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,6.0,,5.0,,5.0,,22,505,93,100,106795,6,5,,66,429,48,774,35,430,26,777,51,41,96,95,55
Beverly Hills High,1520.0,Beverly Hills High School,public,9-12,1589.0,10.0,4.0,Beverly Hills,CA,255.0,Beverly Hills Unified School District,604830.0,"241 Moreno Drive, 
Beverly Hills, CA  90212",(310) 229-3685,(310) 286-7446,http://www.bhhs.bhusd.org ,60483000471.0,34.06208,-118.41056999999999,https://www.greatschools.org/california/beverly-hills/1520-Beverly-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/beverly-hills/1520-Beverly-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/beverly-hills/1520-Beverly-Hills-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/beverly-hills/1520-Beverly-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,9.0,,9.0,,17,226,96,100,71135,10,9,10,83,383,74,76,59,385,46,76,66,38,95,89,9
Bonita High,1526.0,Bonita High School,public,9-12,1993.0,9.0,4.0,La Verne,CA,256.0,Bonita Unified School District,605610.0,"3102 D Street, 
La Verne, CA  91750",(909) 971-8220,,https://bonitahigh.net/,60561000505.0,34.107803000000004,-117.76728999999999,https://www.greatschools.org/california/la-verne/1526-Bonita-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-verne/1526-Bonita-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-verne/1526-Bonita-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/la-verne/1526-Bonita-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,8.0,,8.0,,26,442,86,100,58723,9,8,10,85,468,76,154,45,466,31,152,66,50,99,98,28
San Dimas High,1536.0,San Dimas High School,public,9-12,1360.0,8.0,4.0,San Dimas,CA,256.0,Bonita Unified School District,605610.0,"800 West Covina Boulevard, 
San Dimas, CA  91773",(909) 971-8230,,http://www.SanDimasHigh.com,60561000514.0,34.099308,-117.82293,https://www.greatschools.org/california/san-dimas/1536-San-Dimas-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-dimas/1536-San-Dimas-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-dimas/1536-San-Dimas-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-dimas/1536-San-Dimas-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,9.0,,6.0,,6.0,,25,454,72,100,53026,9,6,9,75,316,62,107,41,317,21,108,51,39,97,95,33
Burbank High,1552.0,Burbank High School,public,9-12,2542.0,8.0,3.0,Burbank,CA,258.0,Burbank Unified School District,606450.0,"902 North Third Street, 
Burbank, CA  91502",(818) 558-4700,(818) 845-6122,,60645000563.0,34.188235999999996,-118.31597,https://www.greatschools.org/california/burbank/1552-Burbank-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/burbank/1552-Burbank-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/burbank/1552-Burbank-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/burbank/1552-Burbank-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,8.0,,7.0,,7.0,,26,425,92,100,79714,8,7,9,69,574,61,248,40,576,34,251,52,44,97,96,34
Family First Charter,31163.0,Family First Charter,charter,9-12,669.0,1.0,,Lawndale,CA,260.0,Centinela Valley Union High School District,607920.0,"4953 Marine Avenue, 
Lawndale, CA  90260",(310) 946-0379,,,60792013705.0,33.89464,-118.3657,https://www.greatschools.org/california/lawndale/31163-Family-First-Charter/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lawndale/31163-Family-First-Charter/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lawndale/31163-Family-First-Charter/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/lawndale/31163-Family-First-Charter/?utm_source=GSAPI&utm_medium=referral,,1.0,,2.0,,,,,,,,,91,91,91,,,,,,,,,91,80,15,8,
New Opportunities Charter,31164.0,New Opportunities Charter,charter,9-12,428.0,1.0,,Inglewood,CA,260.0,Centinela Valley Union High School District,607920.0,"110 South La Brea Avenue Suite 305a, 
Inglewood, CA  90301",(310) 946-0379,,,60792013732.0,33.96281,-118.35276999999999,https://www.greatschools.org/california/inglewood/31164-New-Opportunities-Charter/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/inglewood/31164-New-Opportunities-Charter/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/inglewood/31164-New-Opportunities-Charter/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/inglewood/31164-New-Opportunities-Charter/?utm_source=GSAPI&utm_medium=referral,,1.0,,,,,,,,,,,100,100,100,,,,,,,,,100,100,3,6,
Hawthorne High,1572.0,Hawthorne High School,public,9-12,1865.0,3.0,4.0,Hawthorne,CA,260.0,Centinela Valley Union High School District,607920.0,"4859 West El Segundo Boulevard, 
Hawthorne, CA  90250",(310) 263-4400,(310) 675-7017,http://www.hhscougars.org,60792000756.0,33.916453999999995,-118.3629,https://www.greatschools.org/california/hawthorne/1572-Hawthorne-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hawthorne/1572-Hawthorne-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hawthorne/1572-Hawthorne-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hawthorne/1572-Hawthorne-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,3.0,,3.0,,3.0,,18,470,73,100,49246,3,3,4,49,516,49,469,9,518,8,471,28,28,82,84,81
Lawndale High,11730.0,Lawndale High School,public,9-12,2219.0,4.0,4.0,Lawndale,CA,260.0,Centinela Valley Union High School District,607920.0,"14901 South Inglewood Avenue, 
Lawndale, CA  90260",(310) 263-3102,(310) 263-3120,http://www.lawndalehs.org ,60792007515.0,33.896374,-118.36136,https://www.greatschools.org/california/lawndale/11730-Lawndale-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lawndale/11730-Lawndale-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lawndale/11730-Lawndale-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/lawndale/11730-Lawndale-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,4.0,,4.0,,4.0,,20,445,78,100,59577,4,4,3,46,534,46,455,16,534,17,455,46,46,93,94,80
Leuzinger High,1573.0,Leuzinger High School,public,9-12,1860.0,4.0,3.0,Lawndale,CA,260.0,Centinela Valley Union High School District,607920.0,"4118 West Rosecrans Avenue, 
Lawndale, CA  90260",(310) 263-2200,(310) 675-7023,http://www.leuzinger.org ,60792000759.0,33.901835999999996,-118.35273000000001,https://www.greatschools.org/california/lawndale/1573-Leuzinger-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lawndale/1573-Leuzinger-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lawndale/1573-Leuzinger-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/lawndale/1573-Leuzinger-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,4.0,,4.0,,4.0,,16,459,83,100,47572,4,4,2,50,407,51,368,17,411,18,371,45,45,92,93,79
Charter Oak High,1626.0,Charter Oak High School,public,9-12,1645.0,6.0,4.0,Covina,CA,264.0,Charter Oak Unified School District,608190.0,"1430 East Covina Boulevard, 
Covina, CA  91724",(626) 915-5841,(626) 915-3398,www.cousd.net,60819000801.0,34.09937,-117.86137,https://www.greatschools.org/california/covina/1626-Charter-Oak-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/covina/1626-Charter-Oak-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/covina/1626-Charter-Oak-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/covina/1626-Charter-Oak-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,5.0,,3.0,,3.0,,27,549,95,100,80393,5,3,7,47,347,36,192,29,346,19,192,47,42,98,98,50
Claremont High,1576.0,Claremont High School,public,9-12,2359.0,9.0,4.0,Claremont,CA,261.0,Claremont Unified School District,608760.0,"1601 North Indian Hill Boulevard, 
Claremont, CA  91711",(909) 624-9053,(909) 624-2128,http://www.cusd.claremont.edu,60876000887.0,34.112946,-117.72041000000002,https://www.greatschools.org/california/claremont/1576-Claremont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/claremont/1576-Claremont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/claremont/1576-Claremont-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/claremont/1576-Claremont-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,7.0,,7.0,,25,394,91,100,86542,9,7,9,73,578,61,157,52,578,35,158,77,69,97,97,32
Covina High,1634.0,Covina High School,public,9-12,1316.0,6.0,4.0,Covina,CA,265.0,Covina-Valley Unified School District,610050.0,"463 South Hollenbeck Avenue, 
Covina, CA  91723",(626) 974-6020,(626) 974-6045,www.covinahigh.net,61005001093.0,34.081554,-117.899,https://www.greatschools.org/california/covina/1634-Covina-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/covina/1634-Covina-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/covina/1634-Covina-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/covina/1634-Covina-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,5.0,,3.0,,3.0,,22,329,78,100,92649,5,3,6,53,250,38,66,25,253,12,67,70,68,97,96,72
Northview High,1643.0,Northview High School,public,9-12,1333.0,6.0,4.0,Covina,CA,265.0,Covina-Valley Unified School District,610050.0,"1016 West Cypress Avenue, 
Covina, CA  91722",(626) 974-6120,(626) 974-6145,www.nhsvikings.org,61005001102.0,34.095753,-117.91103999999999,https://www.greatschools.org/california/covina/1643-Northview-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/covina/1643-Northview-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/covina/1643-Northview-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/covina/1643-Northview-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,6.0,,6.0,,4.0,,24,446,77,100,94769,6,4,7,63,311,49,94,27,311,17,94,69,69,98,98,74
South Hills High,1645.0,South Hills High School,public,9-12,1702.0,7.0,4.0,West Covina,CA,265.0,Covina-Valley Unified School District,610050.0,"645 South Barranca Street, 
West Covina, CA  91723",(626) 974-6220,(626) 974-6245,www.southhillshigh.com,61005001105.0,34.062090000000005,-117.88263,https://www.greatschools.org/california/west-covina/1645-South-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/west-covina/1645-South-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/west-covina/1645-South-Hills-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/west-covina/1645-South-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,7.0,,4.0,,3.0,,23,568,81,99,100737,7,3,8,67,404,45,74,34,404,15,74,63,60,99,99,59
Culver City High,1650.0,Culver City High School,public,9-12,2082.0,8.0,4.0,Culver City,CA,266.0,Culver City Unified School District,610260.0,"4401 Elenda Street, 
Culver City, CA  90230",(310) 842-4200,(310) 842-4303,http://www.cchs.ccsud.org ,61026001116.0,34.007670000000005,-118.40207,https://www.greatschools.org/california/culver-city/1650-Culver-City-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/culver-city/1650-Culver-City-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/culver-city/1650-Culver-City-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/culver-city/1650-Culver-City-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,8.0,,5.0,,6.0,,27,424,95,100,72167,8,6,9,75,509,64,216,38,514,25,219,65,54,96,96,36
Downey High,1661.0,Downey High School,public,9-12,4274.0,6.0,4.0,Downey,CA,267.0,Downey Unified School District,611460.0,"11040 Brookshire Avenue, 
Downey, CA  90241",(562) 869-7301,(562) 469-7340,http://dusd.net/,61146001264.0,33.939009999999996,-118.12902,https://www.greatschools.org/california/downey/1661-Downey-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/downey/1661-Downey-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/downey/1661-Downey-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/downey/1661-Downey-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,6.0,,7.0,,6.0,,26,427,99,96,86212,6,6,7,60,1044,58,696,32,1040,28,695,51,47,96,96,65
Warren (Earl) High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opportunities for Learning - Duarte,31180.0,Opportunities For Learning - Duarte,charter,7-12,,3.0,,Monrovia,CA,268.0,Duarte Unified School District,611520.0,"806 Huntington Drive, 
Monrovia, CA  91016",(626) 921-8200,,www.emsofl.com,61152013697.0,34.140182,-118.0173,https://www.greatschools.org/california/monrovia/31180-Opportunities-For-Learning---Duarte/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/monrovia/31180-Opportunities-For-Learning---Duarte/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/monrovia/31180-Opportunities-For-Learning---Duarte/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/monrovia/31180-Opportunities-For-Learning---Duarte/?utm_source=GSAPI&utm_medium=referral,4.0,2.0,,2.0,,2.0,,16,268,38,100,55935,2,2,,40,70,33,84,9,69,10,83,82,81,21,18,80
California School of the Arts - San Gabriel Valley,32602.0,California School Of The Arts - San Gabriel Valley,charter,9-12,,,,Duarte,CA,268.0,Duarte Unified School District,611520.0,"1401 Highland Avenue, 
Duarte, CA  91010",(657) 321-4000,,www.sgv.csarts.net,61152014083.0,34.136932,-117.96885,https://www.greatschools.org/california/duarte/32602-California-School-Of-The-Arts---San-Gabriel-Valley/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/duarte/32602-California-School-Of-The-Arts---San-Gabriel-Valley/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/duarte/32602-California-School-Of-The-Arts---San-Gabriel-Valley/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/duarte/32602-California-School-Of-The-Arts---San-Gabriel-Valley/?utm_source=GSAPI&utm_medium=referral,,10.0,,,,8.0,,,,,,,10,8,10,89,85,83,18,48,85,33,18,,,,,
"Options For Youth - Duarte, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duarte High,1681.0,Duarte High School,public,9-12,944.0,5.0,4.0,Duarte,CA,268.0,Duarte Unified School District,611520.0,"1565 East Central Avenue, 
Duarte, CA  91010",(626) 599-5700,(626) 599-5784,,61152001284.0,34.136066,-117.97128000000001,https://www.greatschools.org/california/duarte/1681-Duarte-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/duarte/1681-Duarte-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/duarte/1681-Duarte-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/duarte/1681-Duarte-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,6.0,,6.0,,5.0,,21,317,89,100,75183,6,5,8,70,180,68,152,15,177,13,150,36,31,97,97,74
El Monte High,1729.0,El Monte High School,public,9-12,1830.0,4.0,4.0,El Monte,CA,273.0,El Monte Union High School District,612120.0,"3048 North Tyler Avenue, 
El Monte, CA  91731",(626) 444-7701,(626) 442-6594,www.emuhsd.org/emhs,61212001364.0,34.064316,-118.03583,https://www.greatschools.org/california/el-monte/1729-El-Monte-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/el-monte/1729-El-Monte-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/el-monte/1729-El-Monte-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/el-monte/1729-El-Monte-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,5.0,,4.0,,5.0,,22,365,94,100,71620,5,5,10,49,384,48,373,25,385,23,374,40,39,87,87,95
Mountain View High,5581.0,Mountain View High School,public,9-12,1871.0,9.0,5.0,Mountain View,CA,649.0,Mountain View-Los Altos Union High School District,626310.0,"3535 Truman Avenue, 
Mountain View, CA  94040",(650) 940-4600,(650) 961-6349,http://mvhs.ca.campusgrid.net/home/,62631003930.0,37.358191999999995,-122.06863,https://www.greatschools.org/california/mountain-view/5581-Mountain-View-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/mountain-view/5581-Mountain-View-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/mountain-view/5581-Mountain-View-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/mountain-view/5581-Mountain-View-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,4.0,,6.0,,20,312,97,100,129122,10,6,10,79,408,48,85,71,410,35,89,74,53,96,88,14
Rosemead High,1731.0,Rosemead High School,public,9-12,1805.0,8.0,3.0,Rosemead,CA,273.0,El Monte Union High School District,612120.0,"9063 East Mission Drive, 
Rosemead, CA  91770",(626) 286-3141,(626) 286-6396,www.emuhsd.org/rhs,61212001366.0,34.083794,-118.07156,https://www.greatschools.org/california/rosemead/1731-Rosemead-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/rosemead/1731-Rosemead-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/rosemead/1731-Rosemead-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/rosemead/1731-Rosemead-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,9.0,,6.0,,8.0,,21,360,100,100,70657,9,8,10,74,398,70,329,47,397,43,328,58,56,89,89,85
