,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities
Engineering and Technology Academy at Esteban E. Torres High No. 3,25426,Engineering And Technology Academy At Esteban E. Torres High No. 3,public,9-12,413,4,5,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"4211 Dozier Street, 
Los Angeles, CA  90063",(323) 265-6795,(323) 265-6796,http://entech.estebantorreshighschool.com/entechhome/,062271012819,34.041553,-118.17547,https://www.greatschools.org/california/los-angeles/25426-Engineering-And-Technology-Academy-At-Esteban-E.-Torres-High-No.-3/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25426-Engineering-And-Technology-Academy-At-Esteban-E.-Torres-High-No.-3/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25426-Engineering-And-Technology-Academy-At-Esteban-E.-Torres-High-No.-3/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25426-Engineering-And-Technology-Academy-At-Esteban-E.-Torres-High-No.-3/?utm_source=GSAPI&utm_medium=referral,,,,,,,
PUC Lakeview Charter High,25276,Puc Lakeview Charter High School,charter,9-12,416,7,5,Sylmar,CA,286,Los Angeles Unified School District,0622710,"13361 Glenoaks Boulevard, 
Sylmar, CA  91342",(818) 356-2591,(818) 559-8641,http://pucschools.org,062271012816,34.31419,-118.45976,https://www.greatschools.org/california/sylmar/25276-Puc-Lakeview-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sylmar/25276-Puc-Lakeview-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sylmar/25276-Puc-Lakeview-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sylmar/25276-Puc-Lakeview-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Alliance Susan and Eric Smidt Technology High,25810,Alliance Susan And Eric Smidt Technology High School,charter,9-12,514,5,5,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"211 South Avenue 20, 
Los Angeles, CA  90031",(323) 352-3206,,http://smidttech.org,062271012817,34.07237,-118.22022,https://www.greatschools.org/california/los-angeles/25810-Alliance-Susan-And-Eric-Smidt-Technology-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25810-Alliance-Susan-And-Eric-Smidt-Technology-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25810-Alliance-Susan-And-Eric-Smidt-Technology-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25810-Alliance-Susan-And-Eric-Smidt-Technology-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Alliance Ted K. Tajima High,25744,Alliance Ted K. Tajima High ,charter,9-12,341,7,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"1552 Rockwood Street, 
Los Angeles, CA  90026",(213) 241-8533,,http://www.tajimahigh.org/,062271012766,34.06348,-118.261536,https://www.greatschools.org/california/los-angeles/25744-Alliance-Ted-K.-Tajima-High-/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25744-Alliance-Ted-K.-Tajima-High-/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25744-Alliance-Ted-K.-Tajima-High-/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25744-Alliance-Ted-K.-Tajima-High-/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Valley Academy of Arts and Sciences,25737,Valley Academy Of Arts And Sciences,public,9-12,1201,6,4,Granada Hills,CA,286,Los Angeles Unified School District,0622710,"10445 Balboa Boulevard, 
Granada Hills, CA  91344",(818) 832-7750,(818) 368-5140,www.thevalleyacademy.net,062271012946,34.260353,-118.50353,https://www.greatschools.org/california/granada-hills/25737-Valley-Academy-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/granada-hills/25737-Valley-Academy-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/granada-hills/25737-Valley-Academy-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/granada-hills/25737-Valley-Academy-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,25735,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,public,9-12,509,6,5,San Fernando,CA,286,Los Angeles Unified School District,0622710,"1001 Arroyo Avenue, 
San Fernando, CA  91340",(818) 838-3915,(818) 838-6759,http://www.edline.net/pages/SJHA,062271012895,34.288464,-118.42073,https://www.greatschools.org/california/san-fernando/25735-Cesar-E.-Chavez-Learning-Academies-Social-Justice-Humanitas-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-fernando/25735-Cesar-E.-Chavez-Learning-Academies-Social-Justice-Humanitas-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-fernando/25735-Cesar-E.-Chavez-Learning-Academies-Social-Justice-Humanitas-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-fernando/25735-Cesar-E.-Chavez-Learning-Academies-Social-Justice-Humanitas-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesar E. Chavez Learning Academies-Technology Preparatory Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Maya Angelou Community High,25727,Social Justice Schools: Fine Arts Academy At Dr. Maya Angelou Community High,public,9-12,1116,2,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"300 East 53rd Street, 
Los Angeles, CA  90011",(323) 846-4600,,www.lausd.net/MayaAngelouCommunityHighSchool,062271012871,33.99422,-118.2701,https://www.greatschools.org/california/los-angeles/25727-Social-Justice-Schools:-Fine-Arts-Academy-At-Dr.-Maya-Angelou-Community-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25727-Social-Justice-Schools:-Fine-Arts-Academy-At-Dr.-Maya-Angelou-Community-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25727-Social-Justice-Schools:-Fine-Arts-Academy-At-Dr.-Maya-Angelou-Community-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25727-Social-Justice-Schools:-Fine-Arts-Academy-At-Dr.-Maya-Angelou-Community-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Public Service Community at Diego Rivera Learning Complex,25726,Public Service Community At Diego Rivera Learning Complex,public,9-12,527,5,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"6100 South Central Avenue, 
Los Angeles, CA  90001",(323) 846-2128,,www.publicservicehs.org,062271012971,33.984123,-118.25611,https://www.greatschools.org/california/los-angeles/25726-Public-Service-Community-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25726-Public-Service-Community-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25726-Public-Service-Community-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25726-Public-Service-Community-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Communication and Technology at Diego Rivera Learning Complex,25725,Communication And Technology At Diego Rivera Learning Complex,public,9-12,542,3,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"6100 South Central Avenue, 
Los Angeles, CA  90001",(323) 846-2118,,www.drlc-lausd-ca.schoolloop.com,062271012973,33.984123,-118.25611,https://www.greatschools.org/california/los-angeles/25725-Communication-And-Technology-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25725-Communication-And-Technology-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25725-Communication-And-Technology-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25725-Communication-And-Technology-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Diego Rivera Learning Complex Green Design STEAM Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performing Arts Community at Diego Rivera Learning Complex,25723,Performing Arts Community At Diego Rivera Learning Complex,public,9-12,544,3,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"6100 South Central Avenue, 
Los Angeles, CA  90001",(323) 846-2136,,www.drlc-lausd-ca.schoolloop.com,062271012885,33.984123,-118.25611,https://www.greatschools.org/california/los-angeles/25723-Performing-Arts-Community-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25723-Performing-Arts-Community-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25723-Performing-Arts-Community-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25723-Performing-Arts-Community-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Synergy Quantum Academy,25722,Synergy Quantum Academy,charter,9-12,582,6,5,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"300 East 53rd Street, 
Los Angeles, CA  90011",(323) 510-4171,,http://wearesynergy.org,062271012883,33.99422,-118.2701,https://www.greatschools.org/california/los-angeles/25722-Synergy-Quantum-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25722-Synergy-Quantum-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25722-Synergy-Quantum-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25722-Synergy-Quantum-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Animo College Preparatory Academy,25717,Animo College Preparatory Academy,charter,9-12,533,2,2,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"2265 East 103rd Street, 
Los Angeles, CA  90002",(323) 568-4136,,http://greendot.org/collegeprep,062271012903,33.944504,-118.23114,https://www.greatschools.org/california/los-angeles/25717-Animo-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25717-Animo-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25717-Animo-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25717-Animo-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Alliance Renee and Meyer Luskin Academy High,26985,Alliance Renee And Meyer Luskin Academy High School,charter,9-12,554,5,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"2941 West 70th Street, 
Los Angeles, CA  90043",(323) 905-1210,,http://luskinacademy.org,062271012848,33.97709,-118.32575,https://www.greatschools.org/california/los-angeles/26985-Alliance-Renee-And-Meyer-Luskin-Academy-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/26985-Alliance-Renee-And-Meyer-Luskin-Academy-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/26985-Alliance-Renee-And-Meyer-Luskin-Academy-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/26985-Alliance-Renee-And-Meyer-Luskin-Academy-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
PUC Early College Academy for Leaders and Scholars (ECALS),25716,Puc Early College Academy For Leaders And Scholars (Ecals),charter,9-12,455,6,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"2050 San Fernando Road, 
Los Angeles, CA  90065",(323) 276-5525,,http://pucschools.org,062271012869,34.29046,-118.44949,https://www.greatschools.org/california/los-angeles/25716-Puc-Early-College-Academy-For-Leaders-And-Scholars-(Ecals)/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25716-Puc-Early-College-Academy-For-Leaders-And-Scholars-(Ecals)/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25716-Puc-Early-College-Academy-For-Leaders-And-Scholars-(Ecals)/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25716-Puc-Early-College-Academy-For-Leaders-And-Scholars-(Ecals)/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Alliance Margaret M. Bloomfield Technology Academy High,31755,Alliance Margaret M. Bloomfield Technology Academy High,charter,9-12,400,6,,Huntington Park,CA,286,Los Angeles Unified School District,0622710,"7907 Santa Fe Avenue, 
Huntington Park, CA  90255",(323) 537-2060,,http://bloomfieldhs.org,062271012924,33.96715,-118.23061,https://www.greatschools.org/california/huntington-park/31755-Alliance-Margaret-M.-Bloomfield-Technology-Academy-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-park/31755-Alliance-Margaret-M.-Bloomfield-Technology-Academy-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-park/31755-Alliance-Margaret-M.-Bloomfield-Technology-Academy-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/huntington-park/31755-Alliance-Margaret-M.-Bloomfield-Technology-Academy-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Ednovate - USC Hybrid High College Prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEM Academy at Bernstein High,26991,STEM Academy at Bernstein High,public,9-12,568,6,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"1309 N Wilton Place, 
Los Angeles, CA  90028",(323) 817-6461,(323) 817-6465,https://www.stemweb.org/,062271013139,34.09627,-118.31484,https://www.greatschools.org/california/los-angeles/26991-STEM-Academy-At-Bernstein-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/26991-STEM-Academy-At-Bernstein-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/26991-STEM-Academy-At-Bernstein-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/26991-STEM-Academy-At-Bernstein-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Math and Science College Preparatory,31083,Math And Science College Preparatory,charter,9-12,550,6,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"3202 West Adams Boulevard, 
Los Angeles, CA  90018",(323) 821-1393,,www.mscollegeprep.org,062271013084,34.03196,-118.31897,https://www.greatschools.org/california/los-angeles/31083-Math-And-Science-College-Preparatory/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/31083-Math-And-Science-College-Preparatory/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/31083-Math-And-Science-College-Preparatory/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/31083-Math-And-Science-College-Preparatory/?utm_source=GSAPI&utm_medium=referral,,,,,,,
"Hilda L. Solis Learning Academy School of Technology, Business and Education",27006,"Hilda L. Solis Learning Academy School Of Technology, Business And Education",public,9-12,342,5,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"319 North Humphreys Avenue, 
Los Angeles, CA  90022",(323) 729-1700,,www.hildasolisla.net,062271013101,34.039104,-118.17138,"https://www.greatschools.org/california/los-angeles/27006-Hilda-L.-Solis-Learning-Academy-School-Of-Technology,-Business-And-Education/?utm_source=GSAPI&utm_medium=referral","https://www.greatschools.org/california/los-angeles/27006-Hilda-L.-Solis-Learning-Academy-School-Of-Technology,-Business-And-Education/?utm_source=GSAPI&utm_medium=referral","https://www.greatschools.org/california/los-angeles/27006-Hilda-L.-Solis-Learning-Academy-School-Of-Technology,-Business-And-Education/?utm_source=GSAPI&utm_medium=referral#Reviews","https://www.greatschools.org/california/los-angeles/27006-Hilda-L.-Solis-Learning-Academy-School-Of-Technology,-Business-And-Education/?utm_source=GSAPI&utm_medium=referral",,,,,,,
Augustus F. Hawkins High A Critical Design and Gaming,27007,Augustus F. Hawkins High A Critical Design And Gaming,public,9-12,532,3,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"825 West 60th Street, 
Los Angeles, CA  90044",(323) 789-1282,,www.hawkinshs-lausd-ca.schoolloop.com,062271013065,33.985535,-118.288,https://www.greatschools.org/california/los-angeles/27007-Augustus-F.-Hawkins-High-A-Critical-Design-And-Gaming/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/27007-Augustus-F.-Hawkins-High-A-Critical-Design-And-Gaming/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/27007-Augustus-F.-Hawkins-High-A-Critical-Design-And-Gaming/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/27007-Augustus-F.-Hawkins-High-A-Critical-Design-And-Gaming/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Augustus F. Hawkins High B Community Health Advocates,27008,Augustus F. Hawkins High B Community Health Advocates,public,9-12,454,2,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"825 West 60th Street, 
Los Angeles, CA  90044",(323) 789-1282,,www.hawkinshs-lausd-ca.schoolloop.com,062271013095,33.985535,-118.288,https://www.greatschools.org/california/los-angeles/27008-Augustus-F.-Hawkins-High-B-Community-Health-Advocates/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/27008-Augustus-F.-Hawkins-High-B-Community-Health-Advocates/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/27008-Augustus-F.-Hawkins-High-B-Community-Health-Advocates/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/27008-Augustus-F.-Hawkins-High-B-Community-Health-Advocates/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,27009,Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,public,9-12,466,2,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"825 West 60th Street, 
Los Angeles, CA  90044",(323) 789-1282,,www.hawkinshs-lausd-ca.schoolloop.com,062271013166,33.985535,-118.288,https://www.greatschools.org/california/los-angeles/27009-Augustus-F.-Hawkins-High-C-Responsible-Indigenous-Social-Entrepreneurship/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/27009-Augustus-F.-Hawkins-High-C-Responsible-Indigenous-Social-Entrepreneurship/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/27009-Augustus-F.-Hawkins-High-C-Responsible-Indigenous-Social-Entrepreneurship/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/27009-Augustus-F.-Hawkins-High-C-Responsible-Indigenous-Social-Entrepreneurship/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,27010,Linda Esperanza Marquez High A Huntington Park Institute Of Applied Medicine,public,9-12,686,6,,Huntington Park,CA,286,Los Angeles Unified School District,0622710,"6361 Cottage Street, 
Huntington Park, CA  90255",(323) 584-3800,,,062271013173,33.981804,-118.23372,https://www.greatschools.org/california/huntington-park/27010-Linda-Esperanza-Marquez-High-A-Huntington-Park-Institute-Of-Applied-Medicine/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-park/27010-Linda-Esperanza-Marquez-High-A-Huntington-Park-Institute-Of-Applied-Medicine/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-park/27010-Linda-Esperanza-Marquez-High-A-Huntington-Park-Institute-Of-Applied-Medicine/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/huntington-park/27010-Linda-Esperanza-Marquez-High-A-Huntington-Park-Institute-Of-Applied-Medicine/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Linda Esperanza Marquez High B LIBRA Academy,27011,Linda Esperanza Marquez High B Libra Academy,public,9-12,634,6,,Huntington Park,CA,286,Los Angeles Unified School District,0622710,"6361 Cottage Street, 
Huntington Park, CA  90255",(323) 584-3800,,,062271013203,33.981804,-118.23372,https://www.greatschools.org/california/huntington-park/27011-Linda-Esperanza-Marquez-High-B-Libra-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-park/27011-Linda-Esperanza-Marquez-High-B-Libra-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-park/27011-Linda-Esperanza-Marquez-High-B-Libra-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/huntington-park/27011-Linda-Esperanza-Marquez-High-B-Libra-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Linda Esperanza Marquez High C School of Social Justice,27012,Linda Esperanza Marquez High C School Of Social Justice,public,9-12,580,5,,Huntington Park,CA,286,Los Angeles Unified School District,0622710,"6361 Cottage Street, 
Huntington Park, CA  90255",(323) 584-3800,,www.ssjmhs.marquezhs.net,062271013086,33.981804,-118.23372,https://www.greatschools.org/california/huntington-park/27012-Linda-Esperanza-Marquez-High-C-School-Of-Social-Justice/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-park/27012-Linda-Esperanza-Marquez-High-C-School-Of-Social-Justice/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-park/27012-Linda-Esperanza-Marquez-High-C-School-Of-Social-Justice/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/huntington-park/27012-Linda-Esperanza-Marquez-High-C-School-Of-Social-Justice/?utm_source=GSAPI&utm_medium=referral,,,,,,,
"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex",27013,"Science, Technology, Engineering, Arts And Mathematics At Legacy High School Complex",public,9-12,566,5,,South Gate,CA,286,Los Angeles Unified School District,0622710,"5225 Tweedy Boulevard, 
South Gate, CA  90280",(323) 357-7540,,www.steamvapa.com,062271013162,33.941326,-118.17894,"https://www.greatschools.org/california/south-gate/27013-Science,-Technology,-Engineering,-Arts-And-Mathematics-At-Legacy-High-School-Complex/?utm_source=GSAPI&utm_medium=referral","https://www.greatschools.org/california/south-gate/27013-Science,-Technology,-Engineering,-Arts-And-Mathematics-At-Legacy-High-School-Complex/?utm_source=GSAPI&utm_medium=referral","https://www.greatschools.org/california/south-gate/27013-Science,-Technology,-Engineering,-Arts-And-Mathematics-At-Legacy-High-School-Complex/?utm_source=GSAPI&utm_medium=referral#Reviews","https://www.greatschools.org/california/south-gate/27013-Science,-Technology,-Engineering,-Arts-And-Mathematics-At-Legacy-High-School-Complex/?utm_source=GSAPI&utm_medium=referral",,,,,,,
Visual and Performing Arts at Legacy High School Complex,27014,Visual And Performing Arts At Legacy High School Complex,public,9-12,431,3,,South Gate,CA,286,Los Angeles Unified School District,0622710,"5225 Tweedy Boulevard, 
South Gate, CA  90280",(323) 357-7531,,www.vapalegacy.com,062271013133,33.941326,-118.17894,https://www.greatschools.org/california/south-gate/27014-Visual-And-Performing-Arts-At-Legacy-High-School-Complex/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/south-gate/27014-Visual-And-Performing-Arts-At-Legacy-High-School-Complex/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/south-gate/27014-Visual-And-Performing-Arts-At-Legacy-High-School-Complex/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/south-gate/27014-Visual-And-Performing-Arts-At-Legacy-High-School-Complex/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Academy for Multilingual Arts and Science at Mervyn M. Dymally High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academies of Education and Empowerment at Carson High,27020,Academies Of Education And Empowerment At Carson High,public,9-12,563,6,,Carson,CA,286,Los Angeles Unified School District,0622710,"22328 South Main Street, 
Carson, CA  90745",(310) 847-1455,,,062271013040,33.82392,-118.27585,https://www.greatschools.org/california/carson/27020-Academies-Of-Education-And-Empowerment-At-Carson-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carson/27020-Academies-Of-Education-And-Empowerment-At-Carson-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carson/27020-Academies-Of-Education-And-Empowerment-At-Carson-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/carson/27020-Academies-Of-Education-And-Empowerment-At-Carson-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Academy of Medical Arts at Carson High,27021,Academy Of Medical Arts At Carson High,public,9-12,510,7,,Carson,CA,286,Los Angeles Unified School District,0622710,"22328 South Main Street, 
Carson, CA  90745",(310) 847-1465,,www.amachs-lausd-ca.schoolloop.com,062271013104,33.82392,-118.27585,https://www.greatschools.org/california/carson/27021-Academy-Of-Medical-Arts-At-Carson-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carson/27021-Academy-Of-Medical-Arts-At-Carson-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carson/27021-Academy-Of-Medical-Arts-At-Carson-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/carson/27021-Academy-Of-Medical-Arts-At-Carson-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Alliance Alice M. Baxter College-Ready High,31028,Alliance Alice M. Baxter College-Ready High School,charter,9-12,400,5,5,San Pedro,CA,286,Los Angeles Unified School District,0622710,"461 W. 9th Street, 
San Pedro, CA  90731",(310) 221-0430,,www.BaxterHigh.org,062271013099,33.735752,-118.28724,https://www.greatschools.org/california/san-pedro/31028-Alliance-Alice-M.-Baxter-College-Ready-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-pedro/31028-Alliance-Alice-M.-Baxter-College-Ready-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-pedro/31028-Alliance-Alice-M.-Baxter-College-Ready-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-pedro/31028-Alliance-Alice-M.-Baxter-College-Ready-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
