,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students,zip_code_GS,schoolname4merge
Maywood Academy High,14527.0,Maywood Academy High,public,9-12,1377.0,3.0,4.0,Maywood,CA,286.0,Los Angeles Unified School District,622710.0,"6125 Pine Avenue, 
Maywood, CA  90270",(323) 838-6000,(323) 560-9206,www.lausd.net/Maywood_Academy_HS,62271010889.0,33.983115999999995,-118.18846,https://www.greatschools.org/california/maywood/14527-Maywood-Academy-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/maywood/14527-Maywood-Academy-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/maywood/14527-Maywood-Academy-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/maywood/14527-Maywood-Academy-High/?utm_source=GSAPI&utm_medium=referral,2.0,3.0,,4.0,,3.0,,27.0,230.0,82.0,94.0,86263.0,3.0,3.0,2.0,36.0,232.0,37.0,220.0,17.0,232.0,17.0,220.0,53.0,52.0,89.0,89.0,89.0,90270.0,Maywood Academy High
New Village Girls Academy,17081.0,New Village Girls Academy,charter,9-12,126.0,,4.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"147 North Occidental Boulevard, 
Los Angeles, CA  90026",(213) 385-4015,(213) 385-4020,http://newvillagegirlsacademy.org,62271011631.0,34.071327000000004,-118.2791,https://www.greatschools.org/california/los-angeles/17081-New-Village-Girls-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/17081-New-Village-Girls-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/17081-New-Village-Girls-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/17081-New-Village-Girls-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,,14.0,130.0,89.0,100.0,57289.0,20.0,19.0,20.0,20.0,20.0,19.0,16.0,,,,,93.0,93.0,35.0,35.0,,90026.0,New Village Girls Academy
Alliance Patti And Peter Neuwirth Leadership Academy,17662.0,Alliance Patti And Peter Neuwirth Leadership Academy ,charter,9-12,630.0,7.0,5.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"4610 South Main Street, 
Los Angeles, CA  90037",(213) 342-2874,(213) 943-4931,http://collegeready5.org,62271011632.0,34.001568,-118.27383,https://www.greatschools.org/california/los-angeles/17662-Alliance-Patti-And-Peter-Neuwirth-Leadership-Academy-/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/17662-Alliance-Patti-And-Peter-Neuwirth-Leadership-Academy-/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/17662-Alliance-Patti-And-Peter-Neuwirth-Leadership-Academy-/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/17662-Alliance-Patti-And-Peter-Neuwirth-Leadership-Academy-/?utm_source=GSAPI&utm_medium=referral,3.0,9.0,,9.0,,9.0,,19.0,216.0,100.0,100.0,57661.0,9.0,9.0,9.0,82.0,135.0,82.0,133.0,47.0,135.0,47.0,133.0,100.0,100.0,95.0,96.0,95.0,90037.0,Alliance Patti And Peter Neuwirth Leadership Academy
Alliance Dr. Olga Mohan High,16901.0,Alliance Dr. Olga Mohan High School,charter,9-12,451.0,9.0,4.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"644 West 17th Street, 
Los Angeles, CA  90015",(213) 342-2870,(213) 342-2871,http://mohanhs.org,62271011633.0,34.036590000000004,-118.27125,https://www.greatschools.org/california/los-angeles/16901-Alliance-Dr.-Olga-Mohan-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/16901-Alliance-Dr.-Olga-Mohan-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/16901-Alliance-Dr.-Olga-Mohan-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/16901-Alliance-Dr.-Olga-Mohan-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,9.0,,9.0,,9.0,,18.0,152.0,100.0,100.0,56439.0,9.0,9.0,9.0,77.0,103.0,76.0,102.0,,,,,100.0,100.0,99.0,99.0,96.0,90015.0,Alliance Dr. Olga Mohan High
Animo Ralph Bunche Charter High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animo Ralph Bunche Charter High
Animo Jackie Robinson High,16979.0,Animo Jackie Robinson High School,charter,9-12,612.0,5.0,5.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"3500 South Hill Street, 
Los Angeles, CA  90007",(323) 846-5800,(323) 235-7250,http://greendot.org/jackierobinson,62271011636.0,34.018394,-118.27561,https://www.greatschools.org/california/los-angeles/16979-Animo-Jackie-Robinson-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/16979-Animo-Jackie-Robinson-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/16979-Animo-Jackie-Robinson-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/16979-Animo-Jackie-Robinson-High-School/?utm_source=GSAPI&utm_medium=referral,2.0,6.0,,6.0,,6.0,,22.0,293.0,93.0,96.0,63777.0,6.0,6.0,6.0,56.0,144.0,55.0,142.0,,,,,64.0,64.0,93.0,93.0,98.0,90007.0,Animo Jackie Robinson High
Animo Watts College Preparatory Academy,17488.0,Animo Watts College Preparatory Academy,charter,9-12,561.0,2.0,3.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"12628 Avalon Boulevard, 
Los Angeles, CA  90061",(323) 756-3930,(323) 756-3947,http://greendot.org/watts,62271011640.0,33.917953000000004,-118.26524,https://www.greatschools.org/california/los-angeles/17488-Animo-Watts-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/17488-Animo-Watts-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/17488-Animo-Watts-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/17488-Animo-Watts-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,1.0,2.0,,2.0,,2.0,,19.0,272.0,43.0,85.0,53660.0,2.0,2.0,2.0,41.0,129.0,39.0,122.0,,,,,67.0,67.0,85.0,85.0,93.0,90061.0,Animo Watts College Preparatory Academy
Alliance Marc & Eva Stern Math and Science,16922.0,Alliance Marc & Eva Stern Math And Science,charter,9-12,601.0,8.0,3.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"5151 State University Drive, Lot 2, 
Los Angeles, CA  90032",(323) 987-2144,(323) 987-2149,http://sternmass.org,62271011642.0,34.06237,-118.1716,https://www.greatschools.org/california/los-angeles/16922-Alliance-Marc-&-Eva-Stern-Math-And-Science/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/16922-Alliance-Marc-&-Eva-Stern-Math-And-Science/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/16922-Alliance-Marc-&-Eva-Stern-Math-And-Science/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/16922-Alliance-Marc-&-Eva-Stern-Math-And-Science/?utm_source=GSAPI&utm_medium=referral,6.0,9.0,,9.0,,8.0,,22.0,209.0,100.0,100.0,56799.0,9.0,8.0,10.0,80.0,140.0,78.0,116.0,41.0,140.0,36.0,116.0,97.0,97.0,98.0,99.0,89.0,90032.0,Alliance Marc & Eva Stern Math and Science
School of Business and Tourism at Contreras Learning Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School of Business and Tourism at Contreras Learning Complex
East Valley Senior High,16913.0,East Valley Senior High School,public,9-12,612.0,2.0,3.0,North Hollywood,CA,286.0,Los Angeles Unified School District,622710.0,"5525 Vineland Avenue, 
North Hollywood, CA  91601",(818) 753-4400,(818) 487-6922,www.eastvalleyhs.com.,62271011651.0,34.170559999999995,-118.37036,https://www.greatschools.org/california/north-hollywood/16913-East-Valley-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/north-hollywood/16913-East-Valley-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/north-hollywood/16913-East-Valley-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/north-hollywood/16913-East-Valley-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,3.0,1.0,,1.0,,1.0,,22.0,205.0,86.0,100.0,88578.0,1.0,1.0,1.0,23.0,133.0,22.0,125.0,2.0,132.0,2.0,124.0,49.0,50.0,82.0,82.0,91.0,91601.0,East Valley Senior High
Arleta High,17085.0,Arleta High School,public,9-12,1436.0,4.0,4.0,Arleta,CA,286.0,Los Angeles Unified School District,622710.0,"14200 Van Nuys Boulevard, 
Arleta, CA  91331",(818) 686-4100,(818) 890-1040,www.lausd.net/Arlete_HS,62271011652.0,34.25096,-118.44273,https://www.greatschools.org/california/arleta/17085-Arleta-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/arleta/17085-Arleta-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/arleta/17085-Arleta-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/arleta/17085-Arleta-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,5.0,,6.0,,5.0,,23.0,205.0,94.0,95.0,88175.0,5.0,5.0,5.0,52.0,323.0,52.0,295.0,24.0,323.0,23.0,295.0,81.0,80.0,91.0,92.0,85.0,91331.0,Arleta High
Panorama High,16881.0,Panorama High School,public,9-12,1303.0,3.0,4.0,Panorama City,CA,286.0,Los Angeles Unified School District,622710.0,"8015 Van Nuys Boulevard, 
Panorama City, CA  91402",(818) 909-4500,(818) 786-6991,www.lausd.net/panorama_hs,62271011653.0,34.21653,-118.44883,https://www.greatschools.org/california/panorama-city/16881-Panorama-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/panorama-city/16881-Panorama-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/panorama-city/16881-Panorama-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/panorama-city/16881-Panorama-High-School/?utm_source=GSAPI&utm_medium=referral,2.0,2.0,,2.0,,2.0,,24.0,260.0,96.0,98.0,86854.0,2.0,2.0,3.0,34.0,282.0,33.0,268.0,5.0,279.0,5.0,265.0,70.0,71.0,83.0,84.0,85.0,91402.0,Panorama High
Bright Star Secondary Charter Academy,17012.0,Bright Star Secondary Charter Academy,charter,9-12,535.0,7.0,3.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"1600 W. Imperial Highway, Los Angeles, CA 90047, 
Los Angeles, CA  90045",(424) 789-8337,(323) 954-6415,http://www.brightstarschools.org/bss,62271011665.0,33.999767,-118.27471,https://www.greatschools.org/california/los-angeles/17012-Bright-Star-Secondary-Charter-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/17012-Bright-Star-Secondary-Charter-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/17012-Bright-Star-Secondary-Charter-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/17012-Bright-Star-Secondary-Charter-Academy/?utm_source=GSAPI&utm_medium=referral,5.0,7.0,,9.0,,7.0,,29.0,86.0,78.0,100.0,53139.0,7.0,7.0,3.0,66.0,118.0,68.0,107.0,30.0,118.0,32.0,107.0,100.0,100.0,90.0,90.0,93.0,90045.0,Bright Star Secondary Charter Academy
Contreras Learning Center-Los Angeles School of Global Studies,16989.0,Contreras Learning Center-Los Angeles School Of Global Studies,public,9-12,382.0,2.0,4.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"322 Lucas Avenue, 
Los Angeles, CA  90017",(213) 240-3850,(213) 482-0232,http://www.lasgs.org ,62271011888.0,34.058064,-118.2617,https://www.greatschools.org/california/los-angeles/16989-Contreras-Learning-Center-Los-Angeles-School-Of-Global-Studies/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/16989-Contreras-Learning-Center-Los-Angeles-School-Of-Global-Studies/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/16989-Contreras-Learning-Center-Los-Angeles-School-Of-Global-Studies/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/16989-Contreras-Learning-Center-Los-Angeles-School-Of-Global-Studies/?utm_source=GSAPI&utm_medium=referral,3.0,1.0,,1.0,,1.0,,23.0,193.0,71.0,100.0,74105.0,1.0,1.0,1.0,20.0,80.0,19.0,76.0,5.0,78.0,5.0,74.0,55.0,55.0,79.0,80.0,93.0,90017.0,Contreras Learning Center-Los Angeles School of Global Studies
West Adams Preparatory High,17475.0,West Adams Preparatory High School,public,9-12,1547.0,2.0,3.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"1500 West Washington Boulevard, 
Los Angeles, CA  90007",(323) 373-2500,(323) 373-2518,www.lausd.net/West_Adams_Prep,62271012114.0,34.040009999999995,-118.28968,https://www.greatschools.org/california/los-angeles/17475-West-Adams-Preparatory-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/17475-West-Adams-Preparatory-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/17475-West-Adams-Preparatory-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/17475-West-Adams-Preparatory-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,3.0,,3.0,,3.0,,17.0,258.0,84.0,87.0,69999.0,3.0,3.0,3.0,46.0,243.0,46.0,239.0,,,,,54.0,53.0,71.0,71.0,91.0,90007.0,West Adams Preparatory High
Discovery Charter Preparatory #2,17453.0,Discovery Charter Preparatory No. 2,charter,9-12,259.0,2.0,2.0,Sylmar,CA,286.0,Los Angeles Unified School District,622710.0,"13570 Eldridge Avenue, 
Sylmar, CA  91342",(818) 897-1187,(818) 897-1295,http://discoveryprep.org,62271011889.0,34.31908,-118.42517,https://www.greatschools.org/california/sylmar/17453-Discovery-Charter-Preparatory-No.-2/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sylmar/17453-Discovery-Charter-Preparatory-No.-2/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sylmar/17453-Discovery-Charter-Preparatory-No.-2/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sylmar/17453-Discovery-Charter-Preparatory-No.-2/?utm_source=GSAPI&utm_medium=referral,1.0,2.0,,2.0,,2.0,,18.0,345.0,53.0,84.0,43294.0,2.0,2.0,2.0,31.0,59.0,31.0,49.0,12.0,59.0,12.0,49.0,100.0,100.0,87.0,87.0,88.0,91342.0,Discovery Charter Preparatory #2
Alliance Morgan McKinzie High,25013.0,Alliance Morgan McKinzie High School,charter,9-12,302.0,6.0,,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"110 South Townsend Avenue, 
Los Angeles, CA  90063",(323) 859-0750,(323) 526-8438,www.mckinziehs.org,62271012259.0,34.03565,-118.18775,https://www.greatschools.org/california/los-angeles/25013-Alliance-Morgan-McKinzie-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25013-Alliance-Morgan-McKinzie-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25013-Alliance-Morgan-McKinzie-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25013-Alliance-Morgan-McKinzie-High-School/?utm_source=GSAPI&utm_medium=referral,3.0,6.0,,6.0,,6.0,,23.0,152.0,100.0,100.0,63783.0,6.0,6.0,6.0,54.0,69.0,52.0,65.0,,,,,100.0,100.0,92.0,92.0,97.0,90063.0,Alliance Morgan McKinzie High
Edward R. Roybal Learning Center,24704.0,Edward R. Roybal Learning Center,public,9-12,1107.0,5.0,3.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"1200 West Colton Street, 
Los Angeles, CA  90026",(213) 580-6400,(213) 482-0775,www.lausd.net/roybal_lc/,62271012295.0,34.061985,-118.25456,https://www.greatschools.org/california/los-angeles/24704-Edward-R.-Roybal-Learning-Center/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/24704-Edward-R.-Roybal-Learning-Center/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/24704-Edward-R.-Roybal-Learning-Center/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/24704-Edward-R.-Roybal-Learning-Center/?utm_source=GSAPI&utm_medium=referral,2.0,7.0,,7.0,,7.0,,20.0,158.0,84.0,87.0,76262.0,7.0,7.0,7.0,64.0,173.0,64.0,163.0,36.0,172.0,35.0,162.0,54.0,54.0,76.0,77.0,88.0,90026.0,Edward R. Roybal Learning Center
Helen Bernstein High,24705.0,Helen Bernstein High School,public,9-12,579.0,2.0,3.0,Hollywood,CA,286.0,Los Angeles Unified School District,622710.0,"1309 North Wilton Place, 
Hollywood, CA  90028",(323) 817-6400,(323) 860-9711,www.lausd.net/Bernstein_HS,62271012234.0,34.09507,-118.31357,https://www.greatschools.org/california/hollywood/24705-Helen-Bernstein-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hollywood/24705-Helen-Bernstein-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hollywood/24705-Helen-Bernstein-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hollywood/24705-Helen-Bernstein-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,4.0,,5.0,,5.0,,21.0,291.0,86.0,100.0,88836.0,4.0,5.0,2.0,46.0,113.0,50.0,90.0,23.0,113.0,26.0,90.0,47.0,48.0,69.0,72.0,83.0,90028.0,Helen Bernstein High
APEX Academy,24706.0,Apex Academy,charter,7-12,436.0,2.0,,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"1309 North Wilton Place, 3rd Floor, 
Los Angeles, CA  90028",(323) 817-6550,(323) 817-6555,,62271012312.0,34.052235,-118.24368,https://www.greatschools.org/california/los-angeles/24706-Apex-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/24706-Apex-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/24706-Apex-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/24706-Apex-Academy/?utm_source=GSAPI&utm_medium=referral,1.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,22.0,73.0,14.0,174.0,1.0,72.0,,174.0,67.0,67.0,65.0,65.0,97.0,90028.0,APEX Academy
Alliance Piera Barbaglia Shaheen Health Services Academy,25006.0,Alliance Piera Barbaglia Shaheen Health Services Academy,charter,9-12,477.0,4.0,4.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"8515 Kansas Avenue, Los Angeles, CA 90044, 
Los Angeles, CA  90047",(323) 972-9010,(323) 305-3505,www.pbshsa.org,62271012378.0,33.939476,-118.30874,https://www.greatschools.org/california/los-angeles/25006-Alliance-Piera-Barbaglia-Shaheen-Health-Services-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25006-Alliance-Piera-Barbaglia-Shaheen-Health-Services-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25006-Alliance-Piera-Barbaglia-Shaheen-Health-Services-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25006-Alliance-Piera-Barbaglia-Shaheen-Health-Services-Academy/?utm_source=GSAPI&utm_medium=referral,3.0,3.0,,2.0,,2.0,,21.0,242.0,100.0,100.0,54654.0,3.0,2.0,3.0,40.0,113.0,39.0,105.0,11.0,113.0,10.0,105.0,100.0,100.0,94.0,94.0,90.0,90047.0,Alliance Piera Barbaglia Shaheen Health Services Academy
Alliance Leichtman-Levine Family Foundation Environmental Science High,25003.0,Alliance Leichtman-Levine Family Foundation Environmental Science High,charter,9-12,525.0,7.0,3.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"2930 Fletcher Drive, 
Los Angeles, CA  90065",(323) 739-0560,(213) 943-4931,http://esathigh.org,62271012342.0,34.11384,-118.24692,https://www.greatschools.org/california/los-angeles/25003-Alliance-Leichtman-Levine-Family-Foundation-Environmental-Science-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25003-Alliance-Leichtman-Levine-Family-Foundation-Environmental-Science-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25003-Alliance-Leichtman-Levine-Family-Foundation-Environmental-Science-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25003-Alliance-Leichtman-Levine-Family-Foundation-Environmental-Science-High/?utm_source=GSAPI&utm_medium=referral,5.0,7.0,,5.0,,6.0,,20.0,270.0,100.0,100.0,57874.0,7.0,6.0,10.0,65.0,130.0,61.0,106.0,31.0,126.0,26.0,104.0,99.0,99.0,96.0,96.0,88.0,90065.0,Alliance Leichtman-Levine Family Foundation Environmental Science High
Contreras Learning Center-Academic Leadership Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contreras Learning Center-Academic Leadership Community
Los Angeles High School of the Arts,24760.0,Rfk Community Schools-Los Angeles High School Of The Arts,public,9-12,430.0,4.0,5.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"701 South Catalina Street, 
Los Angeles, CA  90005",(213) 480-4600,(213) 241-8540,www.lahsa-lausd-ca.schoolloop.com/,62271012270.0,34.059692,-118.29547,https://www.greatschools.org/california/los-angeles/24760-Rfk-Community-Schools-Los-Angeles-High-School-Of-The-Arts/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/24760-Rfk-Community-Schools-Los-Angeles-High-School-Of-The-Arts/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/24760-Rfk-Community-Schools-Los-Angeles-High-School-Of-The-Arts/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/24760-Rfk-Community-Schools-Los-Angeles-High-School-Of-The-Arts/?utm_source=GSAPI&utm_medium=referral,4.0,4.0,,4.0,,3.0,,22.0,217.0,85.0,100.0,84065.0,4.0,3.0,4.0,46.0,106.0,46.0,93.0,16.0,105.0,15.0,92.0,77.0,78.0,81.0,80.0,87.0,90005.0,Los Angeles High School of the Arts
School for the Visual Arts and Humanities,24762.0,Rfk Community Schools- For The Visual Arts And Humanities,public,9-12,435.0,3.0,3.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"701 South Catalina Street, 
Los Angeles, CA  90005",(213) 480-4700,(213) 480-4750,www.svah-lausd-ca.schoolloop.com,62271012370.0,34.059692,-118.29547,https://www.greatschools.org/california/los-angeles/24762-Rfk-Community-Schools--For-The-Visual-Arts-And-Humanities/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/24762-Rfk-Community-Schools--For-The-Visual-Arts-And-Humanities/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/24762-Rfk-Community-Schools--For-The-Visual-Arts-And-Humanities/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/24762-Rfk-Community-Schools--For-The-Visual-Arts-And-Humanities/?utm_source=GSAPI&utm_medium=referral,3.0,2.0,,2.0,,2.0,,21.0,440.0,52.0,100.0,81432.0,2.0,2.0,2.0,39.0,106.0,39.0,100.0,,,,,61.0,62.0,69.0,70.0,90.0,90005.0,School for the Visual Arts and Humanities
New Millennium Secondary,24776.0,New Millennium Secondary,charter,9-12,187.0,3.0,4.0,Gardena,CA,286.0,Los Angeles Unified School District,622710.0,"1301 Westreet 182nd Street, Suite B, 
Gardena, CA  90248",(310) 999-6162,(310) 999-6163,http://newmillenniumschool.org,62271012253.0,33.867287,-118.29473,https://www.greatschools.org/california/gardena/24776-New-Millennium-Secondary/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/gardena/24776-New-Millennium-Secondary/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/gardena/24776-New-Millennium-Secondary/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/gardena/24776-New-Millennium-Secondary/?utm_source=GSAPI&utm_medium=referral,2.0,3.0,,3.0,,4.0,,24.0,288.0,92.0,100.0,72867.0,3.0,4.0,2.0,28.0,32.0,35.0,17.0,15.0,26.0,23.0,13.0,100.0,100.0,76.0,74.0,79.0,90248.0,New Millennium Secondary
Alain Leroy Locke College Preparatory Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alain Leroy Locke College Preparatory Academy
Sun Valley High,25024.0,Sun Valley High School,public,9-12,492.0,1.0,,Sun Valley,CA,286.0,Los Angeles Unified School District,622710.0,"9171 Telfair Avenue, 
Sun Valley, CA  91352",(818) 394-4600,(818) 767-8125,www.sunvalleyhs.org,62271012520.0,34.23613,-118.39659,https://www.greatschools.org/california/sun-valley/25024-Sun-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sun-valley/25024-Sun-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sun-valley/25024-Sun-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sun-valley/25024-Sun-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,1.0,,1.0,,1.0,,19.0,492.0,81.0,89.0,76248.0,1.0,1.0,1.0,22.0,90.0,21.0,85.0,1.0,90.0,1.0,85.0,38.0,37.0,79.0,84.0,91.0,91352.0,Sun Valley High
